long,lat,PLOT,UCDID,HUC12,closestSNOTEL_ID,Distance,course_number,Station,snw_long,snw_lat
-118.392868167,36.0597107045,INY0137,UCDSNM000195,180300010502,185.0,6.321095660208822,261,BNM,-118.328,36.038
-118.169706108,36.1873856649,INY0113,UCDSNM000426,180300020104,186.0,8.950694040135309,262,CSV,-118.268,36.2
-118.182450583,36.4441016229,INY0131,UCDSNM001115,180901030404,175.0,3.1656779382665285,251,CWP,-118.217,36.45
-118.478020806,37.1653668528,INY0105,UCDSNM005339,180901020708,149.0,4.1512755411242654,218,BP3,-118.475,37.128
-120.086408733,37.9154457562,STA0104,UCDSNM009725,180400090804,111.0,22.476759314356944,173,LKB,-119.878,38.033
-119.819394959,38.223124471,STA0109,UCDSNM011447,180400100501,89.0,5.809619179902185,138,REL,-119.758,38.243
-119.778073044,38.2222390296,STA0108,UCDSNM011455,180400100201,89.0,2.896277231537859,138,REL,-119.758,38.243
-119.666343978,38.2673676255,STA0103,UCDSNM011600,180400100202,90.0,1.060972981704633,139,SCF,-119.678,38.27
-120.188422085,38.5650616817,ELD0101,UCDSNM012349,180400120401,230.0,5.61310707593204,363,PDT,-120.228,38.605
-120.150043538,38.7085984944,ELD0106,UCDSNM012863,180201290101,74.0,4.391562682007827,109,SIL,-120.118,38.678
-119.990031533,38.748251682,LTB0102,UCDSNM012985,160501010301,71.0,5.9370559627454504,106,UCP,-119.983,38.695
-119.993041843,38.7602920906,LTB0103,UCDSNM013064,160501010301,72.0,7.01615563043213,107,CAP,-120.042,38.71
-120.249190358,39.059060156,TAH0123,UCDSNM014209,180201280203,217.0,5.5246473677243095,338,LCR,-120.215,39.017
-121.513109833,40.3578321544,LAS0113,UCDSNM015782,180201560301,44.0,7.745987615946509,58,FEM,-121.422,40.355
-121.046433989,40.7881360139,LAS0103,UCDSNM016565,180200030105,26.0,12.872831112593895,31,BMN,-121.195,40.762
-121.059704584,40.7976561709,LAS0104,UCDSNM016589,180200030105,26.0,12.086561746824625,31,BMN,-121.195,40.762
-121.665184879,41.164263105,MOD0103,UCDSNM016769,180200030506,23.0,10.413111597640624,27,DHC,-121.775,41.208
-119.004370324,37.059415641,Shorthair,UCDSNM004476,180300100604,254.0,3.769097580212822,426,CUR,-118.965,37.072
-121.669372781,40.6620126958,Cow,UCDSNM016357,180201510102,28.0,9.450707195200273,33,THL,-121.577,40.71
-119.886921808,38.2465741485,Herring Crk,UCDSNM011536,180400100501,255.0,4.63140857688792,427,GNL,-119.892,38.205
-119.077453757,36.9739978585,Bull Crk,UCDSNM003796,180300100503,166.0,5.437078794292445,239,FDM,-119.08,37.023
-120.363377909,39.3145591726,Van Norden,UCDSNM014503,180201250602,54.0,2.2463512487739736,69,DNS,-120.338,39.31
